"ano";"tam_cp";"gabinete";"qtd_part";"partidos"
1985;6;"Sarney 1";3;"PMDB, PFL, PDS"
1986;6;"Sarney 1";3;"PMDB, PFL, PDS"
1987;6;"Sarney 2";2;"PMDB, PFL"
1988;6;"Sarney 2";2;"PMDB, PFL"
1989;6;"Sarney 2";2;"PMDB, PFL"
1990;14;"Sarney 2";2;"PMDB, PFL"
1991;14;"Collor 2";2;"PFL, PDS"
1992;17;"Collor 2";2;"PFL, PDS"
1993;12;"Franco 2";7;"PMDB, PFL, PSDB, PTB, PDT, PSB, PT"
1994;12;"Franco 5";4;"PMDB, PFL, PSDB, PP"
1995;10;"Cardoso I-1";4;"PSDB, PFL, PMDB, PTB"
1996;10;"Cardoso I-1";4;"PSDB, PFL, PMDB, PTB"
1997;11;"Cardoso I-2";6;"PSDB, PFL, PMDB, PTB, PPB, PPS"
1998;11;"Cardoso I-2";6;"PSDB, PFL, PMDB, PTB, PPB, PPS"
1999;15;"Cardoso II-1";6;"PSDB, PFL, PMDB, PTB, PPB, PPS"
2000;10;"Cardoso II-2";5;"PSDB, PFL, PMDB, PPB, PPS"
2001;12;"Cardoso II-2";5;"PSDB, PFL, PMDB, PPB, PPS"
2002;12;"Cardoso II-2";5;"PSDB, PFL, PMDB, PPB, PPS"
2003;21;"Lula da Silva I-1";8;"PT, PTB, PL, PSB, PPS, PDT, PCdoB, PV"
2004;21;"Lula da Silva I-2";8;"PT, PMDB, PTB, PL, PSB, PPS, PCdoB, PV"
2005;22;"Lula da Silva I-2";8;"PT, PMDB, PTB, PL, PSB, PPS, PCdoB, PV"
2006;21;"Lula da Silva I-3";9;"PT, PMDB, PTB, PL, PSB, PPS, PCdoB, PV, PP"
2007;21;"Lula da Silva II-1";8;"PT, PMDB, PTB, PP, PSB, PCdoB, PV, PR"
2008;22;"Lula da Silva II-3";10;"PT, PMDB, PTB, PP, PSB, PCdoB, PV, PR, PDT, PRB"
2009;21;"Lula da Silva II-3";10;"PT, PMDB, PTB, PP, PSB, PCdoB, PV, PR, PDT, PRB"
2010;21;"Lula da Silva II-5";8;"PT, PMDB, PP, PSB, PCdoB, PV, PR, PDT"
2011;21;"Rousseff I-1";7;"PT, PMDB, PP, PR, PSB, PDT, PCdoB"
2012;23;"Rousseff I-2";6;"PT, PMDB, PP, PR, PSB, PCdoB"
2013;23;"Rousseff I-3";8;"PT, PMDB, PP, PR, PSB, PCdoB, PRB, PDT"
2014;24;"Rousseff I-5";8;"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD"
2015;24;"Rousseff II-1";10;"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB, PROS"
2016;18;"Rousseff II-2";9;"PT, PMDB, PP, PR, PCdoB, PRB, PDT, PSD, PTB"
